"","hgnc_symbol","ensembl_gene_id","gene_biotype","chromosome_name","start_position","end_position","strand"
"34","ADAMTS4","ENSG00000158859","protein_coding","1",161184302,161199054,-1
"35","ADAMTSL4","ENSG00000143382","protein_coding","1",150549369,150560937,1
"36","ADAMTSL4-AS1","ENSG00000203804","lncRNA","1",150560202,150562115,-1
"37","ADAR","ENSG00000160710","protein_coding","1",154581695,154628013,-1
"38","ADCY10","ENSG00000143199","protein_coding","1",167809386,167914215,-1
"39","ADCY3","ENSG00000138031","protein_coding","2",24819169,24920237,-1
"40","ADD2","ENSG00000075340","protein_coding","2",70607618,70768225,-1
"41","ADGRB2","ENSG00000121753","protein_coding","1",31727117,31764893,-1
"42","ADGRF3","ENSG00000173567","protein_coding","2",26308173,26346817,-1
"43","ADGRL2","ENSG00000117114","protein_coding","1",81306147,81993932,1
"44","ADGRL4","ENSG00000162618","protein_coding","1",78889764,79282124,-1
"45","ADI1","ENSG00000182551","protein_coding","2",3497366,3519531,-1
"46","ADI1","ENSG00000280830","protein_coding","HSCHR2_1_CTG1",106831,110463,-1
"47","ADIPOR1","ENSG00000159346","protein_coding","1",202940826,202958572,-1
"48","ADORA1","ENSG00000163485","protein_coding","1",203090654,203167405,1
"49","ADORA3","ENSG00000282608","protein_coding","1",111499429,111503633,-1
"50","ADRA2B","ENSG00000274286","protein_coding","2",96112876,96116571,-1
"51","AFF3","ENSG00000144218","protein_coding","2",99545419,100192428,-1
"52","AFTPH","ENSG00000119844","protein_coding","2",64524299,64593005,1
"53","AGBL4","ENSG00000186094","protein_coding","1",48532854,50023954,-1
"54","AGBL4-IT1","ENSG00000225623","lncRNA","1",49374201,49472085,-1
"55","AGBL5","ENSG00000084693","protein_coding","2",27042364,27070622,1
"56","AGBL5-AS1","ENSG00000231636","lncRNA","2",27049683,27050264,-1
"57","AGBL5-IT1","ENSG00000229122","lncRNA","2",27061038,27061815,1
"58","AGL","ENSG00000162688","protein_coding","1",99850361,99924023,1
"59","AGMAT","ENSG00000116771","protein_coding","1",15571699,15585051,-1
"60","AGO1","ENSG00000092847","protein_coding","1",35869808,35930532,1
"61","AGO3","ENSG00000126070","protein_coding","1",35930718,36072500,1
"62","AGO4","ENSG00000134698","protein_coding","1",35808016,35857890,1
"63","AGRN","ENSG00000188157","protein_coding","1",1020120,1056119,1
"64","AGT","ENSG00000135744","protein_coding","1",230690776,230745576,-1
"65","AGTRAP","ENSG00000177674","protein_coding","1",11736084,11754802,1
"66","AHCTF1","ENSG00000153207","protein_coding","1",246839098,246931948,-1
"67","AHCYL1","ENSG00000168710","protein_coding","1",109984765,110023742,1
"68","AHDC1","ENSG00000126705","protein_coding","1",27534035,27604431,-1
"69","AIDA","ENSG00000186063","protein_coding","1",222668013,222713210,-1
"70","AIM2","ENSG00000163568","protein_coding","1",159056129,159187843,-1
"71","AJAP1","ENSG00000196581","protein_coding","1",4654609,4792534,1
"72","AK2","ENSG00000004455","protein_coding","1",33007986,33080996,-1
"73","AK4","ENSG00000162433","protein_coding","1",65147549,65232145,1
"74","AK5","ENSG00000154027","protein_coding","1",77282019,77559966,1
"75","AKIRIN1","ENSG00000174574","protein_coding","1",38991276,39006059,1
"76","AKNAD1","ENSG00000162641","protein_coding","1",108815898,108963484,-1
"77","AKR1A1","ENSG00000117448","protein_coding","1",45550543,45570049,1
"78","AKR7A2","ENSG00000053371","protein_coding","1",19301991,19312144,-1
"79","AKR7A3","ENSG00000162482","protein_coding","1",19282573,19288770,-1
"80","AKT3","ENSG00000275199","protein_coding","HSCHR1_3_CTG32_1",500341,867542,-1
"81","AKT3","ENSG00000117020","protein_coding","1",243488233,243851079,-1
"82","AKT3-IT1","ENSG00000228939","lncRNA","1",243793205,243794400,-1
"83","ALDH4A1","ENSG00000159423","protein_coding","1",18871430,18902724,-1
"84","ALDH9A1","ENSG00000143149","protein_coding","1",165662216,165698562,-1
"85","ALG14","ENSG00000172339","protein_coding","1",94974405,95072951,-1
"86","ALG6","ENSG00000088035","protein_coding","1",63367575,63438553,1
"87","ALK","ENSG00000171094","protein_coding","2",29192774,29921586,-1
"88","ALKAL2","ENSG00000189292","protein_coding","2",279558,288851,-1
"89","ALLC","ENSG00000151360","protein_coding","2",3658200,3702671,1
"90","ALMS1","ENSG00000116127","protein_coding","2",73385758,73625166,1
"91","ALMS1-IT1","ENSG00000291477","lncRNA","HG2052_PATCH",126262,128980,1
"92","ALMS1-IT1","ENSG00000230002","lncRNA","2",73456764,73459482,1
"93","ALPL","ENSG00000162551","protein_coding","1",21509397,21578410,1
"94","ALX3","ENSG00000156150","protein_coding","1",110059870,110070672,-1
"95","AMIGO1","ENSG00000181754","protein_coding","1",109504178,109509738,-1
"96","AMPD1","ENSG00000116748","protein_coding","1",114673090,114695618,-1
"97","AMPD2","ENSG00000116337","protein_coding","1",109616104,109632051,1
"98","AMY1A","ENSG00000237763","protein_coding","1",103655760,103664554,1
"99","AMY1B","ENSG00000174876","protein_coding","1",103687415,103696454,-1
"100","AMY1C","ENSG00000187733","protein_coding","1",103745323,103758726,1
"101","AMY2A","ENSG00000243480","protein_coding","1",103617427,103625780,1
"102","AMY2B","ENSG00000240038","protein_coding","1",103553815,103579534,1
"103","ANGEL2","ENSG00000174606","protein_coding","1",212992182,213015867,-1
"104","ANGPTL1","ENSG00000116194","protein_coding","1",178849535,178871077,-1
"105","ANGPTL3","ENSG00000132855","protein_coding","1",62597520,62606313,1
"106","ANGPTL7","ENSG00000171819","protein_coding","1",11189355,11195981,1
"107","ANKRD13C","ENSG00000118454","protein_coding","1",70258999,70354734,-1
"108","ANKRD23","ENSG00000163126","protein_coding","2",96824526,96857934,-1
"109","ANKRD34A","ENSG00000272031","protein_coding","1",145959441,145964575,-1
"110","ANKRD35","ENSG00000198483","protein_coding","1",145866560,145885866,-1
"111","ANKRD36","ENSG00000291582","protein_coding","HG2275_PATCH",87851,239219,1
"112","ANKRD36","ENSG00000135976","protein_coding","2",97113153,97264521,1
"113","ANKRD36B","ENSG00000291600","protein_coding","HG2275_PATCH",418694,515908,-1
"114","ANKRD36B","ENSG00000196912","protein_coding","2",97492663,97589877,-1
"115","ANKRD36C","ENSG00000174501","protein_coding","2",95836919,95991831,-1
"116","ANKRD39","ENSG00000213337","protein_coding","2",96836611,96858016,-1
"117","ANKRD45","ENSG00000183831","protein_coding","1",173608336,173669851,-1
"118","ANKRD53","ENSG00000144031","protein_coding","2",70978380,70985499,1
"119","ANKRD65","ENSG00000235098","protein_coding","1",1418420,1421769,-1
"120","ANP32E","ENSG00000143401","protein_coding","1",150218417,150236156,-1
"121","ANTXR1","ENSG00000169604","protein_coding","2",69013176,69249327,1
"122","ANXA4","ENSG00000196975","protein_coding","2",69644425,69827112,1
"123","ANXA9","ENSG00000143412","protein_coding","1",150982249,150995634,1
"124","AP4B1","ENSG00000134262","protein_coding","1",113894194,113905712,-1
"125","AP4B1-AS1","ENSG00000226167","lncRNA","1",113812379,113901237,1
"126","APCS","ENSG00000132703","protein_coding","1",159587826,159588865,1
"127","APH1A","ENSG00000117362","protein_coding","1",150265399,150269580,-1
"128","APLF","ENSG00000169621","protein_coding","2",68467572,68655862,1
"129","APOA2","ENSG00000158874","protein_coding","1",161222290,161223631,-1
"130","APOB","ENSG00000291544","protein_coding","HG2231_HG2496_PATCH",52097,94741,-1
"131","APOB","ENSG00000084674","protein_coding","2",21001429,21044073,-1
"132","APOBEC4","ENSG00000173627","protein_coding","1",183646275,183653316,-1
"133","AQP10","ENSG00000143595","protein_coding","1",154321090,154325325,1
"134","ARF1","ENSG00000143761","protein_coding","1",228082708,228099212,1
"135","ARHGAP25","ENSG00000163219","protein_coding","2",68679601,68826833,1
"136","ARHGAP29","ENSG00000137962","protein_coding","1",94148988,94275068,-1
"137","ARHGAP29-AS1","ENSG00000226835","lncRNA","1",94246951,94411036,1
"138","ARHGAP30","ENSG00000186517","protein_coding","1",161046946,161069970,-1
"139","ARHGEF10L","ENSG00000074964","protein_coding","1",17539698,17697874,1
"140","ARHGEF11","ENSG00000132694","protein_coding","1",156934840,157046903,-1
"141","ARHGEF16","ENSG00000130762","protein_coding","1",3454665,3481113,1
"142","ARHGEF19","ENSG00000291381","protein_coding","HG1343_HG173_HG459_PATCH",1991,16789,-1
"143","ARHGEF19","ENSG00000142632","protein_coding","1",16197854,16212652,-1
"144","ARHGEF2","ENSG00000116584","protein_coding","1",155946851,156007070,-1
"145","ARHGEF33","ENSG00000214694","protein_coding","2",38889875,38975454,1
"146","ARID1A","ENSG00000117713","protein_coding","1",26693236,26782104,1
"147","ARID4B","ENSG00000054267","protein_coding","1",235131634,235328219,-1
"148","ARID5A","ENSG00000196843","protein_coding","2",96536743,96552638,1
"149","ARL8A","ENSG00000143862","protein_coding","1",202133404,202144743,-1
"150","ARMH1","ENSG00000198520","protein_coding","1",44674692,44725591,1
"151","ARNT","ENSG00000143437","protein_coding","1",150809713,150876708,-1
"152","ARPC5","ENSG00000162704","protein_coding","1",183620846,183635783,-1
"153","ARTN","ENSG00000117407","protein_coding","1",43933320,43937240,1
"154","ARV1","ENSG00000173409","protein_coding","1",230978981,231000733,1
"155","ASAP2","ENSG00000151693","protein_coding","2",9206765,9405683,1
"156","ASAP3","ENSG00000282854","protein_coding","HSCHR1_4_CTG3",198542,254547,-1
"157","ASAP3","ENSG00000088280","protein_coding","1",23428563,23484637,-1
"158","ASB17","ENSG00000154007","protein_coding","1",75918873,75932404,-1
"159","ASB3","ENSG00000115239","protein_coding","2",53532672,53860160,-1
"160","ASCL5","ENSG00000232237","protein_coding","1",201113943,201127184,-1
"161","ASH1L","ENSG00000116539","protein_coding","1",155335268,155563162,-1
"162","ASH1L-AS1","ENSG00000235919","lncRNA","1",155562026,155570755,1
"163","ASH1L-IT1","ENSG00000227773","lncRNA","1",155396010,155396978,-1
"164","ASPM","ENSG00000066279","protein_coding","1",197084121,197146694,-1
"165","ASPRV1","ENSG00000244617","protein_coding","2",69960089,69961631,-1
"166","ASTL","ENSG00000188886","protein_coding","2",96122818,96138502,-1
"167","ASTN1","ENSG00000152092","protein_coding","1",176857302,177164973,-1
"168","ASXL2","ENSG00000143970","protein_coding","2",25733753,25878487,-1
"169","ATAD2B","ENSG00000119778","protein_coding","2",23748664,23927123,-1
"170","ATAD3A","ENSG00000197785","protein_coding","1",1512162,1534685,1
"171","ATAD3B","ENSG00000160072","protein_coding","1",1471765,1497848,1
"172","ATAD3C","ENSG00000215915","protein_coding","1",1449689,1470163,1
"173","ATF3","ENSG00000162772","protein_coding","1",212565334,212620777,1
"174","ATF6","ENSG00000118217","protein_coding","1",161766298,161977574,1
"175","ATG4C","ENSG00000125703","protein_coding","1",62784132,62865516,1
"176","ATL2","ENSG00000119787","protein_coding","2",38293954,38377285,-1
"177","ATOH8","ENSG00000168874","protein_coding","2",85751344,85791383,1
"178","ATP13A2","ENSG00000159363","protein_coding","1",16985958,17011928,-1
"179","ATP1A1","ENSG00000163399","protein_coding","1",116372668,116410261,1
"180","ATP1A1-AS1","ENSG00000203865","lncRNA","1",116378437,116421301,-1
"181","ATP1A2","ENSG00000018625","protein_coding","1",160115759,160143591,1
"182","ATP1A4","ENSG00000132681","protein_coding","1",160151586,160186980,1
"183","ATP1B1","ENSG00000143153","protein_coding","1",169105697,169310992,1
"184","ATP2B4","ENSG00000058668","protein_coding","1",203626832,203744081,1
"185","ATP5IF1","ENSG00000285390","protein_coding","HSCHR1_8_CTG3",29753,40550,1
"186","ATP5IF1","ENSG00000130770","protein_coding","1",28236109,28246906,1
"187","ATP5PB","ENSG00000116459","protein_coding","1",111448864,111462773,1
"188","ATP6V0B","ENSG00000117410","protein_coding","1",43974487,43978295,1
"189","ATP6V1B1","ENSG00000116039","protein_coding","2",70935900,70965431,1
"190","ATP6V1C2","ENSG00000143882","protein_coding","2",10721100,10785110,1
"191","ATP6V1E2","ENSG00000250565","protein_coding","2",46490750,46542577,-1
"192","ATP6V1G3","ENSG00000263014","protein_coding","HSCHR1_3_CTG31",164628,182350,-1
"193","ATP6V1G3","ENSG00000151418","protein_coding","1",198523222,198540945,-1
"194","ATP8B2","ENSG00000143515","protein_coding","1",154325525,154351304,1
"195","ATPAF1","ENSG00000123472","protein_coding","1",46632737,46673867,-1
"196","ATRAID","ENSG00000138085","protein_coding","2",27212041,27217178,1
"197","ATXN7L2","ENSG00000162650","protein_coding","1",109483479,109492804,1
"198","AUNIP","ENSG00000127423","protein_coding","1",25831913,25859458,-1
"199","AUP1","ENSG00000115307","protein_coding","2",74526645,74529760,-1
"200","AURKAIP1","ENSG00000175756","protein_coding","1",1373730,1375207,-1
"201","AVPR1B","ENSG00000198049","protein_coding","1",206106936,206117699,-1
"202","AXDND1","ENSG00000162779","protein_coding","1",179365720,179554735,1
"203","AZIN2","ENSG00000142920","protein_coding","1",33081104,33123492,1
"204","B3GALNT2","ENSG00000282880","protein_coding","HSCHR1_5_CTG32_1",90782,148044,-1
"205","B3GALNT2","ENSG00000162885","protein_coding","1",235447190,235504452,-1
"206","B3GALT2","ENSG00000162630","protein_coding","1",193178730,193186613,-1
"207","B3GALT6","ENSG00000176022","protein_coding","1",1232237,1235041,1
"208","B3GNT2","ENSG00000170340","protein_coding","2",62196115,62224731,1
"209","B4GALT2","ENSG00000117411","protein_coding","1",43978943,43991170,1
"210","B4GALT3","ENSG00000158850","protein_coding","1",161171310,161177968,-1
"211","BABAM2","ENSG00000158019","protein_coding","2",27889941,28338901,1
"212","BARHL2","ENSG00000143032","protein_coding","1",90711539,90717302,-1
"213","BATF3","ENSG00000123685","protein_coding","1",212686417,212699840,-1
"214","BCAN","ENSG00000132692","protein_coding","1",156641390,156659532,1
"215","BCAR3","ENSG00000137936","protein_coding","1",93561741,93847150,-1
"216","BCAS2","ENSG00000116752","protein_coding","1",114567557,114581629,-1
"217","BCL10","ENSG00000142867","protein_coding","1",85265776,85276632,-1
"218","BCL11A","ENSG00000119866","protein_coding","2",60450520,60554467,-1
"219","BCL2L15","ENSG00000188761","protein_coding","1",113876816,113887581,-1
"220","BCL9","ENSG00000116128","protein_coding","1",147541501,147626216,1
"221","BECN2","ENSG00000196289","protein_coding","1",241957767,241959062,1
"222","BEND5","ENSG00000162373","protein_coding","1",48727519,48776969,-1
"223","BEST4","ENSG00000142959","protein_coding","1",44781836,44788170,-1
"224","BGLAP","ENSG00000242252","protein_coding","1",156242184,156243317,1
"225","BIRC6","ENSG00000115760","protein_coding","2",32357023,32619571,1
"226","BIRC6-AS1","ENSG00000230046","lncRNA","2",32377631,32379599,-1
"227","BLACAT1","ENSG00000281406","protein_coding","1",205434885,205457091,-1
"228","BLZF1","ENSG00000117475","protein_coding","1",169367970,169396540,1
"229","BMP10","ENSG00000163217","protein_coding","2",68860909,68871397,-1
"230","BMP8A","ENSG00000183682","protein_coding","1",39491636,39529869,1
"231","BMP8B","ENSG00000116985","protein_coding","1",39757182,39788865,-1
"232","BMP8B-AS1","ENSG00000285905","lncRNA","1",39779969,39781418,1
"233","BNIPL","ENSG00000163141","protein_coding","1",151036321,151047720,1
"234","BOLA1","ENSG00000178096","protein_coding","1",149887890,149900798,1
"235","BOLA3","ENSG00000163170","protein_coding","2",74135400,74147912,-1
"236","BPNT1","ENSG00000162813","protein_coding","1",220057482,220090462,-1
"237","BRDT","ENSG00000137948","protein_coding","1",91949343,92014426,1
"238","BRINP2","ENSG00000198797","protein_coding","1",177170958,177282422,1
"239","BRINP3","ENSG00000162670","protein_coding","1",190097658,190478404,-1
"240","BROX","ENSG00000162819","protein_coding","1",222712553,222735196,1
"241","BSDC1","ENSG00000160058","protein_coding","1",32364633,32394731,-1
"242","BSND","ENSG00000162399","protein_coding","1",54998933,55017172,1
"243","BTBD19","ENSG00000222009","protein_coding","1",44808523,44817381,1
"244","BTBD8","ENSG00000189195","protein_coding","1",92080305,92184725,1
"245","BTF3L4","ENSG00000134717","protein_coding","1",52056199,52090716,1
"246","BTG2","ENSG00000159388","protein_coding","1",203305491,203309602,1
"247","C1D","ENSG00000197223","protein_coding","2",68041130,68110948,-1
"248","C1GALT1C1L","ENSG00000223658","protein_coding","2",43675151,43676429,-1
"249","C1orf105","ENSG00000180999","protein_coding","1",172420685,172468831,1
"250","C1orf115","ENSG00000162817","protein_coding","1",220690363,220699153,1
"251","C1orf116","ENSG00000182795","protein_coding","1",207018522,207032756,-1
"252","C1orf122","ENSG00000197982","protein_coding","1",37806979,37809454,1
"253","C1orf127","ENSG00000175262","protein_coding","1",10946471,10982076,-1
"254","C1orf131","ENSG00000143633","protein_coding","1",231223763,231241187,-1
"255","C1orf141","ENSG00000203963","protein_coding","1",67092165,67231853,-1
"256","C1orf146","ENSG00000203910","protein_coding","1",92217915,92245813,1
"257","C1orf159","ENSG00000131591","protein_coding","1",1081818,1116361,-1
"258","C1orf162","ENSG00000143110","protein_coding","1",111473792,111478512,1
"259","C1orf167","ENSG00000215910","protein_coding","1",11761787,11789585,1
"260","C1orf174","ENSG00000198912","protein_coding","1",3889125,3900293,-1
"261","C1orf185","ENSG00000204006","protein_coding","1",51102221,51148086,1
"262","C1orf198","ENSG00000119280","protein_coding","1",230837119,230869589,-1
"263","C1orf21","ENSG00000116667","protein_coding","1",184387029,184629019,1
"264","C1orf210","ENSG00000253313","protein_coding","1",43281877,43285617,-1
"265","C1orf216","ENSG00000142686","protein_coding","1",35713877,35718894,-1
"266","C1orf220","ENSG00000213057","lncRNA","1",178542752,178548889,1
"267","C1orf226","ENSG00000239887","protein_coding","1",162378841,162386812,1
"268","C1orf232","ENSG00000282872","protein_coding","1",26164101,26168963,-1
"269","C1orf35","ENSG00000143793","protein_coding","1",228100726,228105411,-1
"270","C1orf43","ENSG00000143612","protein_coding","1",154206696,154220637,-1
"271","C1orf50","ENSG00000164008","protein_coding","1",42767245,42779491,1
"272","C1orf52","ENSG00000162642","protein_coding","1",85249953,85259672,-1
"273","C1orf53","ENSG00000203724","protein_coding","1",197902630,197907367,1
"274","C1orf54","ENSG00000118292","protein_coding","1",150268200,150280916,1
"275","C1orf56","ENSG00000143443","protein_coding","1",151047751,151051986,1
"276","C1orf74","ENSG00000162757","protein_coding","1",209779208,209784559,-1
"277","C1orf87","ENSG00000162598","protein_coding","1",59987269,60073770,-1
"278","C1orf94","ENSG00000142698","protein_coding","1",34166883,34219131,1
"279","C1QA","ENSG00000173372","protein_coding","1",22635077,22639678,1
"280","C1QB","ENSG00000173369","protein_coding","1",22652762,22661637,1
"281","C1QC","ENSG00000159189","protein_coding","1",22643014,22648110,1
"282","C1QTNF12","ENSG00000184163","protein_coding","1",1242446,1246722,-1
"283","C2CD4D","ENSG00000225556","protein_coding","1",151837818,151840557,-1
"284","C2CD4D-AS1","ENSG00000234614","lncRNA","1",151841877,151851549,1
"285","C2orf15","ENSG00000273045","protein_coding","2",99141707,99151669,1
"286","C2orf42","ENSG00000115998","protein_coding","2",70149885,70248615,-1
"287","C2orf50","ENSG00000150873","protein_coding","2",11133128,11151317,1
"288","C2orf68","ENSG00000168887","protein_coding","2",85605254,85612066,-1
"289","C2orf73","ENSG00000177994","protein_coding","2",54330034,54383742,1
"290","C2orf74","ENSG00000237651","protein_coding","2",61145068,61164828,1
"291","C2orf78","ENSG00000291484","protein_coding","HG2052_PATCH",453681,486646,1
"292","C2orf78","ENSG00000187833","protein_coding","2",73784183,73817148,1
"293","C2orf81","ENSG00000284308","protein_coding","2",74414176,74421619,-1
"294","C2orf92","ENSG00000291598","protein_coding","HG2275_PATCH",590248,629097,1
"295","C2orf92","ENSG00000228486","protein_coding","2",97664217,97703066,1
"296","C4BPA","ENSG00000123838","protein_coding","1",207104233,207144972,1
"297","C4BPB","ENSG00000123843","protein_coding","1",207088860,207099993,1
"298","C8A","ENSG00000157131","protein_coding","1",56854768,56918223,1
"299","C8B","ENSG00000021852","protein_coding","1",56929207,56974383,-1
"300","CA14","ENSG00000118298","protein_coding","1",150257251,150265078,1
"301","CA6","ENSG00000131686","protein_coding","1",8945867,8975092,1
"302","CACHD1","ENSG00000158966","protein_coding","1",64470129,64693058,1
"303","CACNA1E","ENSG00000198216","protein_coding","1",181317690,181813262,1
"304","CACNA1S","ENSG00000081248","protein_coding","1",201039512,201112451,-1
"305","CACYBP","ENSG00000116161","protein_coding","1",174999163,175012027,1
"306","CAD","ENSG00000084774","protein_coding","2",27217369,27243943,1
"307","CADM3","ENSG00000162706","protein_coding","1",159171609,159203313,1
"308","CADM3-AS1","ENSG00000225670","lncRNA","1",159170320,159211455,-1
"309","CALM2","ENSG00000143933","protein_coding","2",47160084,47176921,-1
"310","CALML6","ENSG00000169885","protein_coding","1",1915108,1917296,1
"311","CAMK1G","ENSG00000008118","protein_coding","1",209583714,209613939,1
"312","CAMK2N1","ENSG00000162545","protein_coding","1",20482391,20486210,-1
"313","CAMKMT","ENSG00000143919","protein_coding","2",44361947,44772592,1
"314","CAMSAP2","ENSG00000118200","protein_coding","1",200738893,200860707,1
"315","CAMTA1","ENSG00000171735","protein_coding","1",6785454,7769706,1
"316","CAMTA1-DT","ENSG00000237436","lncRNA","1",6783892,6784843,-1
"317","CAMTA1-IT1","ENSG00000237402","lncRNA","1",7312886,7370277,1
"318","CAP1","ENSG00000131236","protein_coding","1",40040233,40072649,1
"319","CAPG","ENSG00000042493","protein_coding","2",85394753,85418432,-1
"320","CAPN13","ENSG00000162949","protein_coding","2",30722771,30820542,-1
"321","CAPN14","ENSG00000214711","protein_coding","2",31173056,31233858,-1
"322","CAPN2","ENSG00000162909","protein_coding","1",223701593,223776018,1
"323","CAPN8","ENSG00000203697","protein_coding","1",223538007,223665723,-1
"324","CAPN9","ENSG00000135773","protein_coding","1",230747384,230802003,1
"325","CAPZA1","ENSG00000116489","protein_coding","1",112619805,112671616,1
"326","CAPZB","ENSG00000077549","protein_coding","1",19338775,19485539,-1
"327","CASP9","ENSG00000132906","protein_coding","1",15490832,15526534,-1
"328","CASQ1","ENSG00000143318","protein_coding","1",160190575,160201886,1
"329","CASQ2","ENSG00000118729","protein_coding","1",115698038,115837921,-1
"330","CASZ1","ENSG00000130940","protein_coding","1",10636604,10796650,-1
"331","CATSPER4","ENSG00000188782","protein_coding","1",26190561,26202968,1
"332","CATSPERE","ENSG00000179397","protein_coding","1",244454377,244641177,1
"333","CC2D1B","ENSG00000154222","protein_coding","1",52345723,52366205,-1
"334","CCDC121","ENSG00000176714","protein_coding","2",27625638,27629012,-1
"335","CCDC142","ENSG00000135637","protein_coding","2",74471986,74483408,-1
"336","CCDC163","ENSG00000280670","protein_coding","1",45493866,45500079,-1
"337","CCDC17","ENSG00000159588","protein_coding","1",45620044,45624057,-1
"338","CCDC18","ENSG00000122483","protein_coding","1",93179919,93278730,1
"339","CCDC18-AS1","ENSG00000223745","lncRNA","1",93262186,93346025,-1
"340","CCDC181","ENSG00000117477","protein_coding","1",169394870,169460669,-1
"341","CCDC185","ENSG00000178395","protein_coding","1",223393415,223395465,1
"342","CCDC190","ENSG00000185860","protein_coding","1",162824458,162868761,-1
"343","CCDC24","ENSG00000159214","protein_coding","1",43991359,43996528,1
"344","CCDC27","ENSG00000162592","protein_coding","1",3746460,3771645,1
"345","CCDC28B","ENSG00000160050","protein_coding","1",32200595,32205453,1
"346","CCDC30","ENSG00000186409","protein_coding","1",42463221,42657190,1
"347","CCDC85A","ENSG00000055813","protein_coding","2",56183990,56386172,1
"348","CCDC88A","ENSG00000115355","protein_coding","2",55287842,55419895,-1
"349","CCN1","ENSG00000142871","protein_coding","1",85580761,85584589,1
"350","CCNL2","ENSG00000221978","protein_coding","1",1385711,1399335,-1
"351","CCSAP","ENSG00000154429","protein_coding","1",229321011,229343294,-1
"352","CCT3","ENSG00000163468","protein_coding","1",156308968,156367873,-1
"353","CCT4","ENSG00000115484","protein_coding","2",61868085,61888671,-1
"354","CCT7","ENSG00000135624","protein_coding","2",73233420,73253021,1
"355","CD101","ENSG00000134256","protein_coding","1",117001750,117036552,1
"356","CD160","ENSG00000117281","protein_coding","1",145719471,145739288,1
"357","CD164L2","ENSG00000174950","protein_coding","1",27379176,27383333,-1
"358","CD1A","ENSG00000158477","protein_coding","1",158254424,158258269,1
"359","CD1B","ENSG00000158485","protein_coding","1",158327951,158331531,-1
"360","CD1C","ENSG00000158481","protein_coding","1",158289923,158294774,1
"361","CD1D","ENSG00000158473","protein_coding","1",158178030,158186427,1
"362","CD1E","ENSG00000158488","protein_coding","1",158353696,158357553,1
"363","CD2","ENSG00000116824","protein_coding","1",116754430,116769229,1
"364","CD207","ENSG00000116031","protein_coding","2",70830211,70835816,-1
"365","CD244","ENSG00000122223","protein_coding","1",160830160,160862887,-1
"366","CD247","ENSG00000198821","protein_coding","1",167425027,167518640,-1
"367","CD34","ENSG00000174059","protein_coding","1",207880972,207911402,-1
"368","CD46","ENSG00000117335","protein_coding","1",207752037,207795513,1
"369","CD48","ENSG00000117091","protein_coding","1",160678746,160711831,-1
"370","CD52","ENSG00000169442","protein_coding","1",26317958,26320523,1
"371","CD53","ENSG00000143119","protein_coding","1",110871188,110899936,1
"372","CD55","ENSG00000196352","protein_coding","1",207321519,207386804,1
"373","CD58","ENSG00000116815","protein_coding","1",116514534,116571039,-1
"374","CD5L","ENSG00000073754","protein_coding","1",157830911,157898256,-1
